image,name,label
3653610.jpg,安,151
3655161.jpg,安,151
3655689.jpg,安,151
3655818.jpg,八,237
3656106.jpg,八,237
3656787.jpg,巴,107
3656630.jpg,巴,107
3657659.jpg,巴,107
3657131.jpg,巴,107
3657179.jpg,癹,620
3658708.jpg,白,619
3658973.jpg,百,618
3658373.jpg,败,617
3659824.jpg,般,329
3700889.jpg,般,329
3700910.jpg,邦,616
3700191.jpg,雹,327
3701343.jpg,雹,327
3701769.jpg,宝,325
3701894.jpg,宝,325
3702292.jpg,饱,615
3705956.jpg,保,24
3705965.jpg,保,24
3706710.jpg,保,24
3706797.jpg,保,24
3706799.jpg,保,24
3709720.jpg,保,24
3709872.jpg,豹,317
3710637.jpg,豹,317
3712138.jpg,卑,614
3712743.jpg,北,613
3713625.jpg,贝,612
3713226.jpg,狈,611
3713199.jpg,祊,610
3714362.jpg,偪,609
3714160.jpg,鼻,608
3714994.jpg,匕,179
3715844.jpg,匕,179
3716652.jpg,匕,179
3716934.jpg,比,607
3716976.jpg,必,605
3717251.jpg,闭,590
3717370.jpg,畀,164
3717476.jpg,畀,164
3718281.jpg,畀,164
3718715.jpg,敝,106
3718190.jpg,敝,106
3719872.jpg,敝,106
3719652.jpg,敝,106
3719452.jpg,辟,320
3719592.jpg,辟,320
3720911.jpg,濞,604
3720563.jpg,兵,318
3720290.jpg,兵,318
3721665.jpg,丙,8
3721772.jpg,丙,8
3721925.jpg,丙,8
3723784.jpg,丙,8
3723618.jpg,丙,8
3723156.jpg,丙,8
3724706.jpg,丙,8
3724909.jpg,秉,603
3724326.jpg,并,49
3725608.jpg,并,49
3725555.jpg,并,49
3725911.jpg,并,49
3726690.jpg,并,49
3726816.jpg,驳,602
3726239.jpg,帛,601
3727786.jpg,泊,600
3727179.jpg,亳,95
3727129.jpg,亳,95
3727265.jpg,亳,95
3728177.jpg,亳,95
3728460.jpg,卜,599
3728950.jpg,不,326
3729596.jpg,不,326
3730149.jpg,步,598
3730632.jpg,才,335
3730945.jpg,才,335
3731243.jpg,采,346
3731373.jpg,采,346
3732653.jpg,仓,94
3732553.jpg,仓,94
3732883.jpg,仓,94
3733965.jpg,仓,94
3738533.jpg,曹,597
3738932.jpg,册,596
3739646.jpg,叉,351
3739479.jpg,叉,351
3739475.jpg,昌,595
3740648.jpg,长,594
3740283.jpg,鬯,158
3740480.jpg,鬯,158
3741316.jpg,鬯,158
3741347.jpg,朝,86
3741412.jpg,朝,86
3741273.jpg,朝,86
3742492.jpg,朝,86
3742331.jpg,车,29
3742324.jpg,车,29
3745204.jpg,车,29
3746693.jpg,车,29
3746748.jpg,车,29
3747455.jpg,屮,593
3749703.jpg,尘,592
3749878.jpg,臣,591
3750197.jpg,辰,9
3750391.jpg,辰,9
3751620.jpg,辰,9
3751882.jpg,辰,9
3751979.jpg,辰,9
3752893.jpg,辰,9
3752694.jpg,辰,9
3752834.jpg,成,621
3753182.jpg,呈,83
3753805.jpg,呈,83
3753700.jpg,呈,83
3756870.jpg,呈,83
3756867.jpg,承,606
3756908.jpg,乘,622
3756676.jpg,齿,36
3757815.jpg,齿,36
3757689.jpg,齿,36
3757150.jpg,齿,36
3758430.jpg,齿,36
3758466.jpg,赤,349
3758952.jpg,赤,349
3759527.jpg,舂,166
3759884.jpg,舂,166
3759641.jpg,舂,166
3800620.jpg,虫,348
3800943.jpg,虫,348
3800175.jpg,稠,640
3800186.jpg,丑,103
3801537.jpg,丑,103
3801293.jpg,丑,103
3801355.jpg,丑,103
3802418.jpg,臭,654
3802249.jpg,出,337
3802774.jpg,出,337
3803769.jpg,初,653
3805888.jpg,刍,344
3806549.jpg,刍,344
3806662.jpg,楚,652
3806749.jpg,豖,651
3807113.jpg,传,650
3807196.jpg,吹,343
3807247.jpg,吹,343
3807475.jpg,娕,342
3808792.jpg,娕,342
3809761.jpg,此,108
3809907.jpg,此,108
3809387.jpg,此,108
3810575.jpg,此,108
3810795.jpg,朿,4
3810810.jpg,朿,4
3810966.jpg,朿,4
3811121.jpg,朿,4
3812846.jpg,朿,4
3812857.jpg,朿,4
3812884.jpg,朿,4
3813866.jpg,朿,4
3813945.jpg,朿,4
3813879.jpg,琮,341
3815810.jpg,琮,341
3815773.jpg,沓,649
3815156.jpg,大,340
3816767.jpg,大,340
3816935.jpg,汏,648
3816815.jpg,带,172
3817315.jpg,带,172
3817172.jpg,带,172
3818737.jpg,丹,647
3818438.jpg,单,157
3818185.jpg,单,157
3819718.jpg,单,157
3819518.jpg,旦,338
3819658.jpg,旦,338
3820190.jpg,宕,646
3820136.jpg,刀,336
3820764.jpg,刀,336
3820823.jpg,盗,645
3821854.jpg,得,644
3821667.jpg,登,643
3821719.jpg,弟,316
3822161.jpg,弟,316
3823957.jpg,杕,642
3823586.jpg,帝,167
3823620.jpg,帝,167
3824804.jpg,帝,167
3824490.jpg,典,63
3824844.jpg,典,63
3825322.jpg,典,63
3825177.jpg,典,63
3825362.jpg,奠,315
3825697.jpg,奠,315
3826331.jpg,吊,641
3826398.jpg,耋,639
3826630.jpg,丁,31
3829484.jpg,丁,31
3829304.jpg,丁,31
3829869.jpg,丁,31
3830494.jpg,丁,31
3830794.jpg,鼎,314
3830712.jpg,鼎,314
3832339.jpg,东,293
3832879.jpg,东,293
3832148.jpg,冬,292
3833480.jpg,冬,292
3833502.jpg,斗,291
3833639.jpg,斗,291
3833901.jpg,豆,163
3834546.jpg,豆,163
3835624.jpg,豆,163
3835291.jpg,剢,290
3835662.jpg,剢,290
3836402.jpg,督,289
3836569.jpg,督,289
3836113.jpg,杜,624
3836916.jpg,端,638
3837810.jpg,对,637
3837908.jpg,兑,636
3838114.jpg,多,287
3838742.jpg,多,287
3838588.jpg,娥,286
3839751.jpg,娥,286
3839605.jpg,儿,635
3839146.jpg,而,634
3840235.jpg,耳,633
3840859.jpg,洱,285
3840242.jpg,洱,285
3840959.jpg,二,284
3841470.jpg,二,284
3841353.jpg,伐,159
3841288.jpg,伐,159
3842278.jpg,伐,159
3842149.jpg,凡,632
3842467.jpg,杋,631
3843235.jpg,匚,283
3843747.jpg,匚,283
3843603.jpg,方,77
3844481.jpg,方,77
3846576.jpg,方,77
3846284.jpg,方,77
3847927.jpg,彷,630
3847379.jpg,非,282
3848299.jpg,非,282
3848774.jpg,扉,629
3850911.jpg,分,628
3850801.jpg,焚,75
3850453.jpg,焚,75
3851101.jpg,焚,75
3851362.jpg,焚,75
3851918.jpg,丰,39
3851321.jpg,丰,39
3852796.jpg,丰,39
3852323.jpg,丰,39
3852798.jpg,丰,39
3853828.jpg,风,45
3854172.jpg,风,45
3854966.jpg,风,45
3855373.jpg,风,45
3855885.jpg,风,45
3855641.jpg,妦,627
3856371.jpg,封,65
3856877.jpg,封,65
3857207.jpg,封,65
3857731.jpg,封,65
3858117.jpg,夆,280
3858163.jpg,夆,280
3858181.jpg,缶,626
3859883.jpg,夫,625
3900811.jpg,弗,623
3900393.jpg,伏,589
3900237.jpg,凫,588
3901760.jpg,刜,587
3901381.jpg,孚,552
3901109.jpg,服,551
3902695.jpg,福,277
3902617.jpg,福,277
3902111.jpg,甫,550
3903465.jpg,斧,294
3903617.jpg,斧,294
3903644.jpg,父,295
3903576.jpg,父,295
3904687.jpg,妇,296
3905683.jpg,妇,296
3905340.jpg,阜,355
3905537.jpg,阜,355
3906532.jpg,复,549
3906386.jpg,富,306
3906320.jpg,富,306
3907565.jpg,腹,313
3907304.jpg,腹,313
3907584.jpg,干,548
3907460.jpg,甘,547
3908576.jpg,刚,312
3909374.jpg,刚,312
3909478.jpg,高,546
3909152.jpg,膏,311
3910324.jpg,膏,311
3910699.jpg,杲,545
3910572.jpg,槁,544
3911429.jpg,告,543
3912413.jpg,戈,309
3912945.jpg,戈,309
3913696.jpg,鬲,22
3913346.jpg,鬲,22
3914265.jpg,鬲,22
3914560.jpg,鬲,22
3914614.jpg,鬲,22
3915392.jpg,鬲,22
3915724.jpg,各,308
3915617.jpg,各,308
3916508.jpg,更,542
3916190.jpg,庚,12
3917697.jpg,庚,12
3917733.jpg,庚,12
3917431.jpg,庚,12
3918682.jpg,庚,12
3918138.jpg,庚,12
3918908.jpg,庚,12
3918418.jpg,工,124
3919703.jpg,工,124
3919611.jpg,工,124
3919454.jpg,弓,541
3920763.jpg,公,540
3920952.jpg,肱,307
3920958.jpg,肱,307
3921697.jpg,宫,539
3921906.jpg,龚,538
3922945.jpg,冓,537
3922877.jpg,遘,120
3922346.jpg,遘,120
3923512.jpg,遘,120
3923637.jpg,古,536
3924394.jpg,谷,522
3924988.jpg,蛊,303
3924832.jpg,蛊,303
3925172.jpg,鼓,523
3925232.jpg,雇,60
3925197.jpg,雇,60
3925820.jpg,雇,60
3926312.jpg,雇,60
3926987.jpg,剐,524
3926254.jpg,官,525
3927424.jpg,毌,61
3927454.jpg,毌,61
3927988.jpg,毌,61
3928714.jpg,毌,61
3928686.jpg,盥,117
3928585.jpg,盥,117
3930585.jpg,盥,117
3930726.jpg,雚,301
3930286.jpg,雚,301
3931860.jpg,光,300
3931533.jpg,光,300
3932122.jpg,归,526
3933917.jpg,龟,66
3934744.jpg,龟,66
3934234.jpg,龟,66
3934636.jpg,龟,66
3934502.jpg,癸,299
3935490.jpg,癸,299
3935981.jpg,鬼,298
3935231.jpg,鬼,298
3936969.jpg,鲧,354
3936805.jpg,鲧,354
3936605.jpg,果,141
3937259.jpg,果,141
3937430.jpg,果,141
3937265.jpg,亥,40
3938238.jpg,亥,40
3938367.jpg,亥,40
3938362.jpg,亥,40
3939199.jpg,亥,40
3939361.jpg,熯,527
3940715.jpg,蒿,128
3940649.jpg,蒿,128
3941128.jpg,蒿,128
3941162.jpg,好,521
3941255.jpg,禾,376
3942818.jpg,禾,376
3942596.jpg,合,1
3942111.jpg,合,1
3943844.jpg,合,1
3944478.jpg,合,1
3945750.jpg,合,1
3946904.jpg,合,1
3946914.jpg,合,1
3946627.jpg,合,1
3947177.jpg,合,1
3947915.jpg,合,1
3947281.jpg,何,387
3948358.jpg,何,387
3948658.jpg,姀,145
3948576.jpg,姀,145
3948567.jpg,姀,145
3949789.jpg,盉,528
3949958.jpg,龢,388
3950441.jpg,龢,388
3950685.jpg,宏,140
3951169.jpg,宏,140
3951446.jpg,宏,140
3951504.jpg,虹,530
3952380.jpg,后,531
3953899.jpg,厚,532
3953989.jpg,乎,533
3954546.jpg,虍,534
3954713.jpg,狐,535
3954201.jpg,壶,17
3954441.jpg,壶,17
3955393.jpg,壶,17
3955828.jpg,壶,17
3955859.jpg,壶,17
3956945.jpg,壶,17
3956974.jpg,虎,138
3956877.jpg,虎,138
3957469.jpg,虎,138
3957686.jpg,户,553
3957756.jpg,化,554
3958789.jpg,淮,555
4001387.jpg,萑,62
4012543.jpg,萑,62
4012708.jpg,萑,62
4012591.jpg,萑,62
4013491.jpg,雈,133
4013570.jpg,雈,133
4020856.jpg,雈,133
4020218.jpg,黄,358
4021885.jpg,黄,358
4021609.jpg,熿,572
4021410.jpg,会,586
4021550.jpg,昏,362
4022982.jpg,昏,362
4022928.jpg,火,382
4022655.jpg,火,382
4023792.jpg,鸡,79
4023126.jpg,鸡,79
4023786.jpg,鸡,79
4024126.jpg,鸡,79
4024509.jpg,姬,364
4024667.jpg,姬,364
4024183.jpg,基,585
4025747.jpg,箕,367
4025907.jpg,箕,367
4025649.jpg,櫅,584
4026351.jpg,及,583
4026764.jpg,吉,582
4027747.jpg,彶,581
4027761.jpg,即,372
4027703.jpg,即,372
4028225.jpg,亟,580
4028236.jpg,疾,32
4028300.jpg,疾,32
4030536.jpg,疾,32
4030132.jpg,疾,32
4030696.jpg,疾,32
4031210.jpg,棘,579
4031451.jpg,集,578
4031257.jpg,耤,34
4032832.jpg,耤,34
4032921.jpg,耤,34
4032975.jpg,耤,34
4033183.jpg,耤,34
